"bhat","rho","rmse"
0.368349286991133,0.551272554393765,0.153847073192852
0.717120494644419,0.620281433321379,0.176890088897036
0.837299541025657,0.614429679367352,0.185695367042428
0.725644375268548,0.647481743997309,0.120250228511882
0.468995038984347,0.557111474518906,0.17057413522709
0.633779300217151,0.605694521745983,0.133573231436266
0.796823191049411,0.808857382786773,0.134221943672822
0.387117667523868,0.267416876729995,0.232973446233161
0.588810875334567,0.478023392616463,0.179917039713996
0.830190085402659,0.605878596739475,0.210950451855591
0.429576989039204,0.341889561977752,0.232030936563195
0.688352593401692,0.578875684547804,0.204478389742049
0.477013297976967,0.491708916832067,0.185152011969183
0.448926894401473,0.444911841802125,0.196186526423677
0.715733906616967,0.646259252058804,0.15846829174887
0.509457240152853,0.344210802549801,0.23059177746861
0.53974227694566,0.698266667338973,0.120288720039073
0.53109022687709,0.468584972403891,0.207619326234384
0.434909849915489,0.433877323782756,0.195825045096271
0.639508206364162,0.699996437197739,0.149926994344434
0.804970824771214,0.728897131404558,0.13124790153397
0.892065298100974,0.833967861683416,0.153504613963067
0.611897768676475,0.543858893546867,0.194128016579219
0.434215565050215,0.47584118417201,0.181920749487935
0.331512875680294,0.293235552758321,0.200213838367226
0.630373285215449,0.426644055841074,0.227926931264127
0.775984402418767,0.765407751081223,0.150612037022446
0.589788925177641,0.411543434085375,0.240917870412807
0.540619672375806,0.372116795680723,0.228130977036879
0.910726216760321,0.865932370722181,0.13718195736956
0.919950228429678,0.72673537965121,0.135243904383709
0.517550406394188,0.455243838377573,0.171442736825857
0.628011662464135,0.532858851896887,0.194342316161218
0.728415451166669,0.547136793093026,0.181478505985134
0.518483632730901,0.518682742973545,0.171055150429756
0.478926847346049,0.412173716560201,0.230857747591608
0.42760190698458,0.590043681026043,0.140669016409023
0.480829912632578,0.338192407230182,0.234056726849044
0.479489553534424,0.406485929901366,0.224077967823882
0.839043074257872,0.798983560985838,0.110855145599349
0.708717169356204,0.480229536044712,0.227931350901384
0.435757705525718,0.338095258303421,0.239803380514968
0.710488770829045,0.734329390551689,0.159071488484547
0.46941329731512,0.477775733696495,0.176393407788127
0.470188771111906,0.358860541599889,0.237005946858608
0.507822612274823,0.656727745193624,0.145820597208905
0.53848593668656,0.566503072675691,0.155883524412522
0.760522059381055,0.782097031912701,0.102246414727493
0.882082749125342,0.662500699338712,0.153171997187005
0.734536394600913,0.714495054526934,0.167415671525472
